Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,ATGL.NS,ATGL.NS,ATGL.NS,ATGL.NS,ATGL.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,3654.02490234375,3696.5973292761637,3487.7330843941095,3627.6421479514665,445188,,,,,,,5.463641907115065,,-0.007220190091031142,0.011650831089056624,-0.04550921857236889,Oil Gas & Consumable Fuels,13
2023-01-11,3614.15087890625,3665.617426746336,3570.229475710973,3654.0248640089562,302285,,,,,,,5.384349907545008,-0.01091235678550635,0.01103273948396244,0.014240287570855825,-0.012152620260438285,Oil Gas & Consumable Fuels,13
2023-01-12,3646.679443359375,3672.612536144728,3549.6924430982513,3596.661909546905,453399,,,,,,,5.449035000652669,0.009000333838572095,-0.013715911856072904,0.0071114264876166455,-0.02659597635809141,Oil Gas & Consumable Fuels,13
2023-01-13,3712.686767578125,3739.5691957376757,3613.2514028063724,3647.578942647402,566844,,,,,,,5.580294709916205,0.018100665343357702,-0.017536579034701183,0.007240693826989997,-0.026782589266644896,Oil Gas & Consumable Fuels,13
2023-01-16,3728.276611328125,3737.4705865146548,3649.6277810530983,3691.3006453097887,180696,3671.163720703125,,,,,,5.611296093206754,0.004199073265792802,-0.009917709942976694,0.002466012086816294,-0.021095224006732027,Oil Gas & Consumable Fuels,13
2023-01-17,3847.4990234375,3896.4671928267044,3692.649728420493,3725.278421247222,732003,3709.858544921875,,,,,,5.848377346482716,0.03197788805345759,-0.03176624644886372,0.012727272727272698,-0.04024674056412336,Oil Gas & Consumable Fuels,13
2023-01-18,3802.97802734375,3881.4770520512348,3773.547206113662,3859.6411476645685,487214,3747.623974609375,,,,,,5.759844549970285,-0.011571411928253922,0.01489967070895637,0.02064146154489177,-0.007738888055223492,Oil Gas & Consumable Fuels,13
2023-01-19,3833.05859375,3876.48032117297,3732.573859134066,3782.5413806753522,461226,3784.8998046875,,,,,,5.819661645235075,0.007909739732906174,-0.013179347990406098,0.011328219060823042,-0.02621528791127259,Oil Gas & Consumable Fuels,13
2023-01-20,3916.354248046875,3932.443887338839,3799.5302819980343,3833.0585372544715,447521,3825.63330078125,,,,,,5.985300284512292,0.021730858597542146,-0.02126868651729963,0.004108320716898373,-0.029829775002376713,Oil Gas & Consumable Fuels,13
2023-01-23,3898.566162109375,3997.4018246305473,3862.639318024872,3936.4414468049317,564577,3859.6912109375,3765.4274658203126,,,,,5.949927558589131,-0.004542001262110315,0.009715183254723536,0.02535179817692157,-0.009215399352120901,Oil Gas & Consumable Fuels,13
2023-01-24,3889.221923828125,3937.4405806855048,3848.4983949796647,3933.4431790807475,350178,3868.035791015625,3788.94716796875,,,,,5.93134595397778,-0.002396839733558393,0.011370206205434608,0.012398021455643393,-0.010470867861501865,Oil Gas & Consumable Fuels,13
2023-01-25,3657.62255859375,3882.3265994378776,3597.6615330430327,3867.4861480212603,515358,3838.964697265625,3793.2943359375,,,,,5.470796072489806,-0.0595490228560714,0.05737704918032782,0.06143445291154359,-0.016393442622950838,Oil Gas & Consumable Fuels,13
2023-01-27,2926.09814453125,3474.7415466308594,2926.09814453125,3474.7415466308594,1237800,3657.572607421875,3721.2362060546875,,,,,4.0161138376697645,-0.19999997330062125,0.1875,0.1875,0.0,Oil Gas & Consumable Fuels,13
2023-01-30,2340.87841796875,2536.3514653753673,2340.87841796875,2499.3754983860495,1888555,3342.47744140625,3584.05537109375,,,,,2.8523676614225595,-0.2000000333742223,0.06770837784682215,0.08350414353268087,0.0,Oil Gas & Consumable Fuels,13
2023-01-31,2106.830322265625,2153.5999666249263,2106.830322265625,2143.606463299521,531326,2984.1302734375,3421.9107421875,3504.995068359375,,,,2.3869483256248234,-0.09998302086368736,0.017455672934471478,0.02219905602507488,0.0,Oil Gas & Consumable Fuels,13
2023-02-01,1896.16748046875,1997.501635806952,1896.16748046875,1949.732637711414,1570400,2585.519384765625,3226.777587890625,3387.8045735677083,,,,1.9680320357408376,-0.0999904166797515,0.028249169862053725,0.05344156377639764,0.0,Oil Gas & Consumable Fuels,13
2023-02-02,1706.590576171875,1706.590576171875,1706.590576171875,1706.590576171875,64276,2195.31298828125,3017.1388427734373,3260.63388671875,,,,1.5910464567068592,-0.09997898722005814,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-03,1621.296142578125,1621.296142578125,1621.296142578125,1621.296142578125,62458,1934.352587890625,2795.96259765625,3125.608333333333,,,,1.4214331192806866,-0.049979435480698324,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-06,1540.2489013671875,1540.2489013671875,1540.2489013671875,1540.2489013671875,77660,1774.2266845703125,2558.3520629882814,2980.7791422526043,,,,1.2602655906182016,-0.04998916550930614,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-07,1463.248779296875,1518.013228980804,1463.248779296875,1463.248779296875,3561024,1645.5103759765625,2314.8203247070314,2829.7772867838544,3040.123895263672,,,1.1071460125133372,-0.04999199934631608,0.0,0.03742661566425132,0.0,Oil Gas & Consumable Fuels,13
2023-02-08,1390.096435546875,1390.096435546875,1390.096435546875,1390.096435546875,420769,1544.2961669921874,2064.9077758789062,2665.950447591146,2926.9274719238283,,,0.9616779832269186,-0.049993100821277565,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-09,1320.591552734375,1320.591552734375,1320.591552734375,1320.591552734375,200127,1467.0963623046875,1831.2046752929687,2500.458015950521,2812.2495056152343,,,0.823463159063915,-0.05000004390713816,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-10,1254.58447265625,1254.58447265625,1254.58447265625,1254.58447265625,51732,1393.7540283203125,1664.0533081054687,2328.5597412109373,2692.6447570800783,,,0.692203935289343,-0.049982964029606905,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-13,1191.875244140625,1191.875244140625,1191.875244140625,1191.875244140625,44997,1324.079296875,1549.1529907226563,2146.9278076171877,2566.604180908203,,,0.5675026964416178,-0.04998406235879425,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-14,1132.31396484375,1132.31396484375,1132.31396484375,1132.31396484375,52107,1257.892333984375,1451.7013549804688,1962.5109944661458,2436.806048583984,2683.6775830078127,,0.44906135229679167,-0.049972746384056604,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-15,1075.7008056640625,1075.7008056640625,1075.7008056640625,1075.7008056640625,74780,1195.0132080078124,1369.6546875,1774.942919921875,2298.2161376953127,2580.544619140625,,0.33648253013776197,-0.04999775763385524,0.0,0.0,0.0,Oil Gas & Consumable Fuels,13
2023-02-16,1021.9357299804688,1129.46581234067,1021.9357299804688,1021.9357299804688,5922981,1135.2820434570312,1301.1892028808593,1599.2304646809896,2159.1640228271485,2476.856013183594,,0.22956730086149527,-0.04998144037867756,0.0,0.1052219618177519,0.0,Oil Gas & Consumable Fuels,13
